email,team name;description task ,solution,solution example
user1@example.com,DevOps;Pod failing to start with ImagePullBackOff,Check image name, tag, registry credentials in the pod spec and secrets. Ensure DockerHub isn't rate limited.,`kubectl describe pod <pod-name>` and `kubectl get secrets docker-registry <secret-name> -o yaml`
user2@example.com,Platform;Service not routing traffic correctly,Verify service selectors match pod labels, endpoint slices are generated correctly, and kube-proxy is running on nodes.,`kubectl get endpoints <service-name>` and `kubectl describe service <service-name>`
user3@example.com,Security;Suspected unauthorized access to cluster,Review Kubernetes audit logs, enable RBAC (Role-Based Access Control), and check API server authentication flags.,`kubectl get clusterrolebindings` and analyze audit logs in `/var/log/kube-apiserver/audit.log` (location may vary).
user4@example.com,Database;PersistentVolumeClaim (PVC) stuck in pending state,Ensure a PersistentVolume (PV) exists that satisfies the PVC's requirements (storage class, access modes, size). If using dynamic provisioning, verify storage class exists and is correctly configured.,`kubectl get pvc` and `kubectl get pv`
user5@example.com,Networking;DNS resolution failing within pods,Verify `kube-dns` or CoreDNS is running correctly in the `kube-system` namespace, and that the pod's `/etc/resolv.conf` is configured correctly. Check network policies.,`kubectl get pods -n kube-system -l k8s-app=kube-dns` and `kubectl exec -it <pod-name> -- cat /etc/resolv.conf`
user6@example.com,Application;Deployment not scaling,Check the Horizontal Pod Autoscaler (HPA) configuration, resource requests/limits on pods, and node resource availability (CPU, memory).,`kubectl get hpa` and `kubectl describe hpa <hpa-name>`
user7@example.com,Monitoring;Metrics server not collecting metrics,Ensure metrics server is deployed correctly and nodes are properly configured to expose metrics. Check RBAC permissions.,`kubectl get deployment metrics-server -n kube-system` and `kubectl logs -n kube-system <metrics-server-pod-name>`
user8@example.com,Infra;Node failing to join cluster,Check kubelet configuration (kubeconfig, API server address), network connectivity between node and master, and certificate validity.,`journalctl -u kubelet` on the failing node.  Verify `/var/lib/kubelet/kubeconfig` exists and is valid.
user9@example.com,DevOps;Job failing to complete,Examine job logs, check pod status, and verify resource limits are sufficient.,`kubectl logs <job-pod-name>` and `kubectl describe job <job-name>`
user10@example.com,Security;Secret exposed in pod environment variables,Avoid storing secrets directly in environment variables. Use Kubernetes Secrets to manage sensitive data and mount them as volumes or use environment variables from secret keys.,Use `kubectl edit deployment <deployment-name>` and remove sensitive data. Replace with Secret references.
user11@example.com,Platform;Ingress not working,Verify the Ingress controller is running, Ingress resources are correctly configured, and DNS records are pointing to the Ingress controller's IP address.,`kubectl get ingress` and `kubectl describe ingress <ingress-name>`. Check the logs of your ingress controller pods.
